filename, file size, TTH (time to handle), compression, start, practical
iasc2021-06-09T12-10-55.869196.csv_1,30724,1623232264.6874232,True,1623232207.89869,53.751 
iasc2021-06-09T12-11-02.630024.csv_1,30724,1623232325.862242,True, 1623232261.7873528,55.028
iasc2021-06-09T12-11-11.678558.csv_1,30724,1623232377.0328662,True,1623232316.9471705,54.995
iasc2021-06-09T12-11-58.410573.csv_1,30724,1623232428.178445,True, 1623232372.0753424,51.619
iasc2021-06-09T12-12-04.300986.csv_1,30724,1623232479.3350413,True,1623232423.8247337,51.609
