filename, file size, TTH (time to handle), compression, start, practical
iasc2021-06-09T12-10-55.869196.csv_1,19140,1623233033.292168,False ,1623232969.613614,53.752
iasc2021-06-09T12-11-02.630024.csv_1,18380,1623233084.381302,False ,1623233023.5150068,54.972
iasc2021-06-09T12-11-11.678558.csv_1,19132,1623233135.4843075,False,1623233078.6722043,55.309
iasc2021-06-09T12-11-58.410573.csv_1,18400,1623233196.6497414,False,1623233134.1171374,52.687
iasc2021-06-09T12-12-04.300986.csv_1,18396,1623233247.9213905,False,1623233186.9392643,53.368
